gender,emotion,actor,path
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-01-01-01-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-01-01-01-02-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-01-01-02-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-01-01-02-02-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-02-01-01-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-02-01-01-02-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-02-01-02-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-02-01-02-02-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-02-02-01-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-02-02-01-02-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-02-02-02-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-02-02-02-02-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-03-01-01-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-03-01-01-02-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-03-01-02-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-03-01-02-02-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-03-02-01-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-03-02-01-02-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-03-02-02-01-01.wav
male,not stressed,1,D://sem6//capstone//archive//Actor_01//03-01-03-02-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-04-01-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-04-01-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-04-01-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-04-01-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-04-02-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-04-02-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-04-02-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-04-02-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-05-01-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-05-01-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-05-01-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-05-01-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-05-02-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-05-02-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-05-02-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-05-02-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-06-01-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-06-01-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-06-01-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-06-01-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-06-02-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-06-02-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-06-02-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-06-02-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-07-01-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-07-01-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-07-01-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-07-01-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-07-02-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-07-02-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-07-02-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-07-02-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-08-01-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-08-01-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-08-01-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-08-01-02-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-08-02-01-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-08-02-01-02-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-08-02-02-01-01.wav
male,stressed,1,D://sem6//capstone//archive//Actor_01//03-01-08-02-02-02-01.wav
female,not stressed,2,D://sem6//capstone//archive//Actor_02//03-01-01-01-01-01-02.wav
female,not stressed,2,D://sem6//capstone//archive//Actor_02//03-01-01-01-01-02-02.wav
female,not stressed,2,D://sem6//capstone//archive//Actor_02//03-01-01-01-02-01-02.wav
